City,State,Distance
Abbotsford,BC,2.454198531110776
Agoura Hills,CA,1.9617091841259884
Ajax,ON,3.4754469132508286
Akron,OH,11.347219389597155
Alameda,CA,2.934250399211594
Albany,NY,6.6691079052326785
Albuquerque,NM,5.092913753325421
Alexandria,VA,4.721011862874467
Aliso Viejo,CA,2.1083993348722694
Allentown,PA,4.764190106441558
Alpharetta,GA,4.532754481785414
Altamont,NY,3.20533481183173
Amarillo,TX,8.205760633541288
Amesbury,MA,0.5500367689289144
Amherst,MA,1.6635760725979132
Anacortes,WA,0.805517012712876
Anaheim,CA,6.615164770753954
Anchorage,AK,2.659392991869385
Andover,MA,3.859673746132707
Ann Arbor,MI,4.277247134217967
Annapolis,MD,3.9777975687415528
Annapolis Junction,MD,1.2741893059336382
Arcadia,CA,1.7490736307747115
Arcata,CA,2.6589090591532414
Arlington,TX,6.897113586097315
Arlington,VA,2.8458826981576975
Ashburn,VA,3.167231179272136
Asheboro,NC,3.185124648825782
Asheville,NC,7.133621400319728
Ashland,OR,9.878622064164084
Aspen,CO,3.571389569767149
Athens,GA,4.618749145525071
Athens,OH,0.9083294760110703
Atlanta,GA,12.15537363701274
Auburn,AL,3.180104513002673
Auburn,CA,3.8150396669432833
Auburn,MA,1.5573666225226537
Auburn Hills,MI,4.229282987267399
Augusta,GA,2.6824788238892805
Augusta,ME,1.196446575224722
Aurora,CO,7.580950782927931
Aurora,IL,4.75087523989533
Aurora,ON,1.8043431731599164
Austin,TX,11.994194495911067
Aventura,FL,1.0792698373563376
Avon,CO,1.4192164537999985
Avondale,AZ,2.004448967484605
Bakersfield,CA,19.740206768179362
Baldwinsville,NY,4.909275093357272
Ballston Spa,NY,1.5242550340508219
Baltimore,MD,8.876208204285966
Bangor,ME,2.760425614907962
Barnstable,MA,1.8668692365058241
Barrie,ON,4.196154700503839
Barrington,IL,1.0862157916307122
Barstow,CA,3.400170331106782
Baton Rouge,LA,3.8612260737137967
Battle Creek,MI,9.339974960232874
Beaverton,OR,3.042244240923671
Bel Air,MD,6.2104571472109775
Bellevue,WA,3.353440753576912
Bellflower,CA,0.90693622400831
Bellingham,WA,3.1187828277497864
Beloeil,QC,2.180742121156777
Bend,OR,19.1288415027344
Bensalem,PA,1.420029533110576
Bentonville,AR,2.336827402057153
Berkeley,CA,1.7328364766900872
Bethesda,MD,2.1850445066204065
Bethlehem,PA,4.204710893551001
Beverly,MA,1.5362382545174909
Beverly Hills,CA,1.2736806006375787
Binghamton,NY,4.1246072160912295
Birmingham,AL,9.615247012972434
Blacksburg,VA,3.114031625555052
Bloomington,IL,4.081684867591812
Bloomington,IN,0.9569689196618656
Bloomington,MN,3.9594667495815856
Blue Springs,MO,1.4566061956949623
Boca Raton,FL,5.748398506630155
Boise,ID,10.977889714432674
Boone,NC,4.756848278203094
Boston,MA,4.4706094872266045
Bothell,WA,3.246098976611743
Boucherville,QC,2.9211317665192613
Boulder,CO,4.413465286517469
Bowie,MD,8.13407550666865
Bowling Green,KY,4.095195118211468
Boynton Beach,FL,0.47325929766665487
Bradenton,FL,7.838621231330557
Brampton,ON,6.004946166512109
Branson,MO,3.5911425985694736
Brantford,ON,2.0527130885003833
Brattleboro,VT,1.008032151465583
Brea,CA,1.5855658590411157
Breckenridge,CO,2.4383249436828334
Brentwood,CA,3.621119655090275
Brentwood,TN,2.193677998687706
Bridgewater,MA,2.0312331138075037
Brighton,CO,2.546446125451985
Brisbane,CA,0.21747242462480854
Brockton,MA,3.4198651004604588
Bronx,NY,3.5559072895158526
Brooklyn,NY,6.904098856459305
Broomfield,CO,3.6534011311699786
Brossard,QC,1.9060694720373175
Buena Park,CA,0.9362364743145007
Buffalo,NY,9.339103642495806
Buford,GA,8.358479736811079
Burbank,CA,2.4621527420260256
Burlingame,CA,1.0735573867307078
Burlington,MA,1.894091609648989
Burlington,ON,4.525642263969427
Burlington,VT,2.7132914053677517
Burnaby,BC,4.935364779918627
Calgary,AB,12.729138868788123
Calistoga,CA,3.594749295847288
Camarillo,CA,6.451011426085468
Cambridge,MA,2.6498502712418186
Cambridge,ON,3.820824848203456
Campbell,CA,1.3828859950899213
Campbell River,BC,5.1874244058342205
Canton,MA,1.5117007651466998
Canton,OH,8.077022251524527
Carlsbad,CA,5.512790082657883
Carson,CA,4.324549175517765
Cary,NC,7.180876056929507
Cathedral City,CA,1.0808556714355584
Cedar Park,TX,3.023046548336522
Cedar Rapids,IA,5.512677507706345
Centennial,CO,8.549547586663303
Cerritos,CA,1.3602026281332362
Champaign,IL,4.19719896137805
Chandler,AZ,5.4735369864210766
Chapel Hill,NC,4.619338983327331
Charleston,SC,11.999306033737767
Charlotte,NC,13.25182687852229
